Total Duration of All Videos: 10256.64 hours
Total Videos: 44868
Unique Channels: 207
Min Duration: 0.00 milliseconds
Max Duration: 26.81 hours
Average Duration: 13.72 minutes
Total Duplicate Entries: 44
Unique Duplicate Videos: 22

Language Analysis:
Audio Language,sum,min,max,mean,Total Duration,Min Duration,Max Duration,Avg Duration,Video Count,Total Views
Unknown,5953425,0,23288,775.8927407793561,1653.73 hours,0.00 milliseconds,6.47 hours,12.93 minutes,7673,1264078850
en,2337001,0,14070,677.3915942028985,649.17 hours,0.00 milliseconds,3.91 hours,11.29 minutes,3450,1036268674
en-GB,212254,8,10290,587.9612188365651,58.96 hours,8.00 seconds,2.86 hours,9.80 minutes,361,19926990
en-IN,785453,9,14479,570.8234011627907,218.18 hours,9.00 seconds,4.02 hours,9.51 minutes,1376,112060852
en-US,652325,5,42900,1065.890522875817,181.20 hours,5.00 seconds,11.92 hours,17.76 minutes,612,413893275
hi,17163,0,1993,490.37142857142857,4.77 hours,0.00 milliseconds,33.22 minutes,8.17 minutes,35,223156
ml,110,30,80,55.0,1.83 minutes,30.00 seconds,1.33 minutes,55.00 seconds,2,1660255
te,26180378,0,96507,837.8793445561032,7272.33 hours,0.00 milliseconds,26.81 hours,13.96 minutes,31246,4876969210
zxx,785799,12,23791,6953.973451327433,218.28 hours,12.00 seconds,6.61 hours,1.93 hours,113,7225126


Domain Analysis:
Category,sum,min,max,mean,Total Duration,Min Duration,Max Duration,Avg Duration,Video Count,Total Views
Autos & Vehicles,24043,23,5285,293.2073170731707,6.68 hours,23.00 seconds,1.47 hours,4.89 minutes,82,13479719
Comedy,345232,0,11104,412.9569377990431,95.90 hours,0.00 milliseconds,3.08 hours,6.88 minutes,836,550487326
Education,5514913,0,47228,1131.496306934756,1531.92 hours,0.00 milliseconds,13.12 hours,18.86 minutes,4874,375255764
Entertainment,9428502,0,39564,888.3080836630864,2619.03 hours,0.00 milliseconds,10.99 hours,14.81 minutes,10614,3163376792
Film & Animation,328728,11,9991,1685.7846153846153,91.31 hours,11.00 seconds,2.78 hours,28.10 minutes,195,90335238
Gaming,1965386,0,23791,6381.123376623376,545.94 hours,0.00 milliseconds,6.61 hours,1.77 hours,308,96439618
How-to & Style,157890,8,2274,393.74064837905235,43.86 hours,8.00 seconds,37.90 minutes,6.56 minutes,401,16954587
Music,411553,36,19060,3846.2897196261683,114.32 hours,36.00 seconds,5.29 hours,1.07 hours,107,4535982
News & Politics,14227809,0,96507,802.47089678511,3952.17 hours,0.00 milliseconds,26.81 hours,13.37 minutes,17730,988002257
Nonprofits & Activism,93654,16,7699,628.5503355704698,26.02 hours,16.00 seconds,2.14 hours,10.48 minutes,149,13900493
People & Blogs,2941125,0,10781,390.4320987654321,816.98 hours,0.00 milliseconds,2.99 hours,6.51 minutes,7533,1505063101
Pets & Animals,504,205,299,252.0,8.40 minutes,3.42 minutes,4.98 minutes,4.20 minutes,2,204184
Science & Technology,284274,0,5403,490.9740932642487,78.97 hours,0.00 milliseconds,1.50 hours,8.18 minutes,579,266387552
Sports,135511,17,4738,459.3593220338983,37.64 hours,17.00 seconds,1.32 hours,7.66 minutes,295,10592805
Travel & Events,1064784,5,42900,915.5494411006019,295.77 hours,5.00 seconds,11.92 hours,15.26 minutes,1163,637290970


Topic Analysis:
Topics,sum,min,max,mean,Total Duration,Min Duration,Max Duration,Avg Duration,Video Count,Total Views
https://en.wikipedia.org/wiki/Action-adventure_game,1736055,0,23791,5151.498516320475,482.24 hours,0.00 milliseconds,6.61 hours,1.43 hours,337,80128089
https://en.wikipedia.org/wiki/Action_game,1964261,0,23791,5486.762569832402,545.63 hours,0.00 milliseconds,6.61 hours,1.52 hours,358,77679634
https://en.wikipedia.org/wiki/Association_football,5836,16,1299,224.46153846153845,1.62 hours,16.00 seconds,21.65 minutes,3.74 minutes,26,2502705
https://en.wikipedia.org/wiki/Basketball,28,28,28,28.0,28.00 seconds,28.00 seconds,28.00 seconds,28.00 seconds,1,23818
https://en.wikipedia.org/wiki/Boxing,2578,36,1193,234.36363636363637,42.97 minutes,36.00 seconds,19.88 minutes,3.91 minutes,11,193241
https://en.wikipedia.org/wiki/Business,32429,40,1883,337.8020833333333,9.01 hours,40.00 seconds,31.38 minutes,5.63 minutes,96,12201196
https://en.wikipedia.org/wiki/Casual_game,3712,556,955,742.4,1.03 hours,9.27 minutes,15.92 minutes,12.37 minutes,5,5798676
https://en.wikipedia.org/wiki/Classical_music,22808,29,10257,1086.095238095238,6.34 hours,29.00 seconds,2.85 hours,18.10 minutes,21,137431
https://en.wikipedia.org/wiki/Cricket,196742,12,11208,398.2631578947368,54.65 hours,12.00 seconds,3.11 hours,6.64 minutes,494,61125864
https://en.wikipedia.org/wiki/Electronic_music,2106,16,928,150.42857142857142,35.10 minutes,16.00 seconds,15.47 minutes,2.51 minutes,14,385832
https://en.wikipedia.org/wiki/Entertainment,5399991,6,18570,554.2431489274351,1500.00 hours,6.00 seconds,5.16 hours,9.24 minutes,9743,3340616966
https://en.wikipedia.org/wiki/Fashion,167871,10,5213,387.6928406466513,46.63 hours,10.00 seconds,1.45 hours,6.46 minutes,433,59072084
https://en.wikipedia.org/wiki/Film,4352422,9,16798,610.9519932622122,1209.01 hours,9.00 seconds,4.67 hours,10.18 minutes,7124,2984715286
https://en.wikipedia.org/wiki/Food,332402,10,4469,501.3604826546003,92.33 hours,10.00 seconds,1.24 hours,8.36 minutes,663,262411841
https://en.wikipedia.org/wiki/Golf,205,22,183,102.5,3.42 minutes,22.00 seconds,3.05 minutes,1.71 minutes,2,27789
https://en.wikipedia.org/wiki/Health,279656,15,7532,330.95384615384614,77.68 hours,15.00 seconds,2.09 hours,5.52 minutes,845,88490496
https://en.wikipedia.org/wiki/Hip_hop_music,8969,39,5214,1494.8333333333333,2.49 hours,39.00 seconds,1.45 hours,24.91 minutes,6,6166794
https://en.wikipedia.org/wiki/Hobby,287479,6,7981,494.80034423407915,79.86 hours,6.00 seconds,2.22 hours,8.25 minutes,581,187778919
