Domain,Main Category URL,Subcategory,Subcategory URL
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Main topic articles,https://en.wikipedia.org/wiki/Category:Main_topic_articles
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Academic disciplines,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Business,https://en.wikipedia.org/wiki/Category:Business
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Communication,https://en.wikipedia.org/wiki/Category:Communication
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Concepts,https://en.wikipedia.org/wiki/Category:Concepts
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Culture,https://en.wikipedia.org/wiki/Category:Culture
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Economy,https://en.wikipedia.org/wiki/Category:Economy
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,Education,https://en.wikipedia.org/wiki/Category:Education
Wikipedia,https://en.wikipedia.org/wiki/Category:Main_topic_classifications,,https://en.wikipedia.org/wiki/Category:Academic_disciplines
